start,end,stage
2026-07-20T23:59,2026-07-21T00:02,awake
2026-07-21T00:02,2026-07-21T00:21,core
2026-07-21T00:21,2026-07-21T00:24,awake
2026-07-21T00:24,2026-07-21T01:10,core
2026-07-21T01:10,2026-07-21T01:25,deep
2026-07-21T01:25,2026-07-21T01:50,core
2026-07-21T01:50,2026-07-21T02:06,rem
2026-07-21T02:06,2026-07-21T02:09,awake
2026-07-21T02:09,2026-07-21T02:45,core
2026-07-21T02:45,2026-07-21T03:00,deep
2026-07-21T03:00,2026-07-21T03:35,core
2026-07-21T03:35,2026-07-21T03:57,rem
2026-07-21T03:57,2026-07-21T04:00,awake
2026-07-21T04:00,2026-07-21T04:05,core
2026-07-21T04:05,2026-07-21T04:20,deep
2026-07-21T04:20,2026-07-21T05:10,core
2026-07-21T05:10,2026-07-21T05:22,rem
2026-07-21T05:22,2026-07-21T06:01,core
2026-07-21T06:01,2026-07-21T06:04,awake
2026-07-21T06:04,2026-07-21T06:27,core
2026-07-21T06:27,2026-07-21T06:30,awake
2026-07-21T06:30,2026-07-21T07:12,core
2026-07-21T07:12,2026-07-21T07:18,awake
